value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.0014714947901666164,0.00971945095807314,0.09452804177999496,-0.06785932183265686,1.1986877918243408,-0.008124456740915775,0.14825201034545898,-0.19949062168598175,1.2479981184005737,0.18904858827590942,0
0.20384004712104797,-28.294448852539062,2.093076705932617,-36.803653717041016,0.714301586151123,-29.170665740966797,1.7334930896759033,-37.26025390625,25.634605407714844,0.03706857189536095,10000
0.22274214029312134,-29.35494613647461,0.6107868552207947,-46.339412689208984,0.8166948556900024,-29.982566833496094,0.7355228662490845,-46.08784866333008,65.62448120117188,0.03052683174610138,20000
0.4779964089393616,-31.753772735595703,-0.8911545276641846,-46.466976165771484,0.6389895677566528,-32.2139892578125,-0.18423497676849365,-46.62873077392578,41.242027282714844,0.032763075083494186,30000
0.38656842708587646,-30.953306198120117,0.8392592668533325,-46.35356903076172,0.47787198424339294,-31.590774536132812,0.8867640495300293,-46.50674057006836,37.440940856933594,0.0311600174754858,40000
0.24793605506420135,-31.618404388427734,0.6715950965881348,-46.98932647705078,0.7301223278045654,-32.44175720214844,0.15608185529708862,-47.22515869140625,17.57555389404297,0.04157755523920059,50000
0.4884605407714844,-30.961490631103516,0.6601047515869141,-47.27130889892578,0.6952753067016602,-32.11488723754883,0.21624904870986938,-47.80543518066406,16.609651565551758,0.02749946154654026,60000
0.26985543966293335,-31.11841583251953,0.5180727243423462,-47.19900131225586,0.38931405544281006,-31.43219566345215,0.40994858741760254,-47.83964157104492,36.68000030517578,0.0352950356900692,70000
0.6325982809066772,-32.33711242675781,0.4002584218978882,-47.34623336791992,0.6442787647247314,-33.1307373046875,-0.07730095088481903,-47.76067352294922,54.83876037597656,0.03969581797719002,80000
0.5124119520187378,-31.128509521484375,0.15157879889011383,-47.75183868408203,1.0350782871246338,-31.478004455566406,0.2065248191356659,-47.782920837402344,61.754554748535156,0.023489659652113914,90000
0.4064105749130249,-31.070953369140625,0.3752678632736206,-47.710662841796875,0.9268546104431152,-31.944528579711914,0.45583122968673706,-48.23543167114258,20.971416473388672,0.027141202241182327,100000
0.5833570957183838,-30.693870544433594,0.566604495048523,-47.43376159667969,0.7195936441421509,-31.743473052978516,0.17322804033756256,-48.28615951538086,21.698278427124023,0.03352959081530571,110000
0.519933819770813,-32.88166809082031,0.45671504735946655,-47.72675704956055,0.7361425757408142,-33.51332092285156,0.2367740124464035,-48.31708908081055,45.9638671875,0.031177079305052757,120000
0.4630870223045349,-32.90983581542969,0.9765118360519409,-48.01958465576172,0.5576302409172058,-33.30018615722656,0.4362120032310486,-48.393531799316406,56.5228385925293,0.030772585421800613,130000
0.5970644354820251,-32.88023376464844,0.23971082270145416,-47.744876861572266,0.433993399143219,-33.277671813964844,0.2521345019340515,-48.13969039916992,52.702552795410156,0.03064584732055664,140000
1.0130739212036133,-32.43876647949219,0.36208367347717285,-48.025611877441406,0.8832097053527832,-33.30091857910156,0.19557343423366547,-48.42746353149414,24.15427017211914,0.03862915188074112,150000
0.41874298453330994,-32.83509063720703,0.12701918184757233,-47.99856185913086,0.4216371774673462,-33.386558532714844,0.24579335749149323,-48.39667510986328,33.749549865722656,0.033623553812503815,160000
0.7218934297561646,-32.56782150268555,0.34930288791656494,-48.12367248535156,2.0642030239105225,-33.230690002441406,0.12617190182209015,-48.41227340698242,36.65943908691406,0.03537898138165474,170000
0.306693971157074,-32.0229606628418,0.10708217322826385,-48.09819412231445,0.39973971247673035,-32.26952362060547,0.10493556410074234,-48.047752380371094,60.3599853515625,0.030747978016734123,180000
1.0079065561294556,-33.155914306640625,0.26427537202835083,-47.964595794677734,0.43765825033187866,-33.78234100341797,0.37289148569107056,-48.543373107910156,27.219463348388672,0.034670520573854446,190000
0.5126228332519531,-32.011131286621094,0.22221192717552185,-48.086299896240234,0.6554735898971558,-32.61296844482422,0.5490884184837341,-48.78438186645508,35.69702911376953,0.027585048228502274,200000
0.478262722492218,-32.983985900878906,0.2041943520307541,-48.34675979614258,0.7456519603729248,-33.26103210449219,0.14278434216976166,-48.48324203491211,85.10671997070312,0.02976933680474758,210000
0.48576977849006653,-32.48660659790039,0.5277641415596008,-48.14917755126953,0.6453795433044434,-33.12309265136719,0.13847975432872772,-48.743873596191406,39.102928161621094,0.036278266459703445,220000
0.5008746981620789,-32.806087493896484,0.39218613505363464,-48.219730377197266,0.6368106007575989,-33.62063217163086,0.46458348631858826,-49.006988525390625,25.62059211730957,0.026562903076410294,230000
0.9047419428825378,-33.58893585205078,0.2492765337228775,-48.567665100097656,0.9160546660423279,-33.93671798706055,0.2623019218444824,-48.78351974487305,40.28203201293945,0.0381179116666317,240000
