critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9758162498474121,0.03711503744125366,0.15549248456954956,-0.07601210474967957,-701.263916015625,0.13792479038238525,143.8959197998047,-845.2977905273438,0.47965309023857117,5.756995677947998,0.9997000694274902,0
1.076619029045105,-38.15045166015625,0.0926690548658371,-39.9661750793457,45.6491813659668,38.310096740722656,58.29938507080078,-50.96030044555664,0.19433128833770752,0.45871472358703613,0.09951356798410416,10000
3.5639452934265137,-60.91093826293945,0.7361922264099121,-63.46316909790039,86.05146789550781,60.95941925048828,16.406024932861328,8.686017990112305,0.05468675121665001,0.009799519553780556,0.016294259577989578,20000
3.8544325828552246,-73.96388244628906,0.9087743759155273,-77.64566802978516,95.46695709228516,74.01011657714844,14.082733154296875,7.374106407165527,0.046942442655563354,0.002344154054298997,0.012076448649168015,30000
2.6755106449127197,-76.81268310546875,0.5637388229370117,-84.81629180908203,98.85248565673828,76.48072814941406,15.508434295654297,6.863330364227295,0.051694780588150024,-0.001183076063171029,0.012056780979037285,40000
6.07201623916626,-69.26177215576172,1.3612871170043945,-84.82075500488281,90.72876739501953,68.78114318847656,14.243733406066895,7.703889846801758,0.047479111701250076,-0.0004273906524758786,0.012241288088262081,50000
3.9420158863067627,-63.012977600097656,0.5401700139045715,-79.87577056884766,83.62503051757812,62.7508544921875,12.898192405700684,7.975986480712891,0.042993973940610886,-0.002208708319813013,0.012266852892935276,60000
3.951313018798828,-57.405303955078125,0.4533224105834961,-74.77654266357422,78.10911560058594,57.31218719482422,12.759721755981445,8.037209510803223,0.042532406747341156,-0.001660002046264708,0.01223378349095583,70000
3.3608062267303467,-57.00346374511719,0.07295940816402435,-71.5639419555664,78.68484497070312,56.518775939941406,14.664947509765625,7.50112247467041,0.04888315871357918,0.0008293664432130754,0.012219862081110477,80000
2.401850461959839,-53.4421501159668,0.06851106882095337,-71.55986785888672,72.3863754272461,52.884674072265625,12.222222328186035,7.279476642608643,0.040740739554166794,0.002005159156396985,0.012287500314414501,90000
3.0342600345611572,-52.213809967041016,0.31042441725730896,-69.87992858886719,72.09333801269531,51.880428314208984,12.49515438079834,7.717756271362305,0.04165051504969597,-0.0006262733950279653,0.012243798933923244,100000
7.838387489318848,-49.23701858520508,0.34793728590011597,-70.05663299560547,69.25870513916016,48.618621826171875,12.976385116577148,7.663694381713867,0.04325461760163307,0.0008415013435296714,0.012236122973263264,110000
2.6858463287353516,-51.402626037597656,0.16041909158229828,-67.00859069824219,71.74346923828125,50.9644889831543,12.899669647216797,7.879312992095947,0.04299889877438545,-0.002089220564812422,0.012240138836205006,120000
3.9375805854797363,-49.67210388183594,0.8546473979949951,-67.49779510498047,69.24043273925781,49.3873291015625,12.226041793823242,7.6270623207092285,0.04075347259640694,-0.0012359386309981346,0.012260987423360348,130000
2.3710930347442627,-48.056617736816406,-0.0010558068752288818,-66.38066864013672,68.0611343383789,47.24549865722656,12.85074234008789,7.964890480041504,0.04283580929040909,-0.00011060429824283347,0.012197076342999935,140000
2.3051602840423584,-46.98670959472656,0.15568608045578003,-65.57315063476562,67.1224365234375,46.15285110473633,12.908618927001953,8.060965538024902,0.043028730899095535,0.0004469382402021438,0.012212737463414669,150000
1.609692931175232,-47.76211166381836,0.14242108166217804,-67.16252899169922,69.18771362304688,47.3701171875,14.029839515686035,7.78775691986084,0.04676613211631775,-0.0005009886808693409,0.012163790874183178,160000
3.5107927322387695,-45.69188690185547,0.43825650215148926,-64.94406127929688,65.69041442871094,45.212581634521484,12.700417518615723,7.777419090270996,0.042334724217653275,-0.0005413735052570701,0.01231050118803978,170000
1.9252654314041138,-44.787933349609375,0.27838003635406494,-61.990081787109375,64.09204864501953,44.516117095947266,11.681255340576172,7.89467716217041,0.0389375165104866,-0.0005886047147214413,0.012264694087207317,180000
1.9390194416046143,-45.664817810058594,0.2665162682533264,-62.78420639038086,65.65886688232422,45.035423278808594,12.841018676757812,7.782422065734863,0.04280339553952217,8.324841473950073e-05,0.012339222244918346,190000
2.4981446266174316,-43.72598648071289,0.29902827739715576,-63.644134521484375,63.253421783447266,43.480979919433594,12.216099739074707,7.556342601776123,0.04072033241391182,0.0021875558886677027,0.01225509587675333,200000
2.5039806365966797,-44.31510925292969,0.40819382667541504,-61.56792068481445,63.64896011352539,44.04496765136719,11.704459190368652,7.899534225463867,0.03901486471295357,-1.5074601833475754e-05,0.012249999679625034,210000
2.0907437801361084,-44.2654914855957,0.7056262493133545,-62.40880584716797,67.17936706542969,43.85139083862305,15.61793327331543,7.710043430328369,0.052059777081012726,4.0291724872076884e-05,0.012264547869563103,220000
1.5255415439605713,-44.19599151611328,0.44684499502182007,-61.05145263671875,64.66858673095703,43.66911697387695,13.223481178283691,7.775991916656494,0.044078271836042404,0.0009480260778218508,0.012314640916883945,230000
3.3790886402130127,-44.47419738769531,0.25954604148864746,-63.35804748535156,66.98641204833984,44.09217834472656,15.19775390625,7.6964802742004395,0.0506591796875,-0.0007051460561342537,0.012298695743083954,240000
1.3888683319091797,-44.620914459228516,0.37623998522758484,-63.423912048339844,64.92320251464844,44.10469055175781,13.336210250854492,7.482302188873291,0.04445403441786766,0.0025113006122410297,0.012223836034536362,250000
2.6097989082336426,-43.00313949584961,0.35917627811431885,-62.12563705444336,62.848392486572266,42.4919319152832,12.431764602661133,7.924692630767822,0.04143921658396721,-0.0002896162332035601,0.01222904771566391,260000
1.3700740337371826,-44.199039459228516,0.08115808665752411,-68.1529541015625,62.62934494018555,43.818294525146484,11.300378799438477,7.510671615600586,0.037667930126190186,-0.00044147693552076817,0.012295161373913288,270000
1.316124439239502,-44.34701919555664,0.06497873365879059,-61.59636688232422,65.7564697265625,43.83466339111328,13.837640762329102,8.084168434143066,0.046125467866659164,-0.000609629089012742,0.0123300114646554,280000
1.3448795080184937,-43.74726867675781,0.6501022577285767,-64.72171783447266,63.50443649291992,42.95535659790039,12.970568656921387,7.578511714935303,0.04323522746562958,0.001925247022882104,0.012242969125509262,290000
1.694554328918457,-42.85407257080078,0.23166535794734955,-61.13691711425781,63.89555358886719,42.596763610839844,12.81578540802002,8.48300552368164,0.0427192859351635,0.000840353372041136,0.012246483936905861,300000
