critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
0.9640028476715088,-0.055345259606838226,0.04427096247673035,-0.19011151790618896,1.1527340412139893,159.90963745117188,159.67396545410156,0.235680490732193,0.20444349944591522,0
0.35277146100997925,-38.6473388671875,0.3996500074863434,-40.122371673583984,0.18505774438381195,40.262367248535156,1.5641082525253296,38.69825744628906,0.03722713515162468,10000
1.7293226718902588,-61.07377243041992,0.23352473974227905,-63.51236343383789,0.24083398282527924,61.93688201904297,0.9936966300010681,60.94318389892578,0.037576641887426376,20000
2.446859836578369,-52.654632568359375,2.6104819774627686,-75.50213623046875,0.1730756312608719,52.62006759643555,1.1728110313415527,51.44725799560547,0.03013419546186924,30000
1.3017956018447876,-44.238441467285156,0.856018602848053,-60.47722244262695,0.1919516623020172,44.79100799560547,0.9409408569335938,43.850067138671875,0.027983013540506363,40000
1.2954001426696777,-41.627967834472656,0.15314699709415436,-59.42669677734375,0.1992587000131607,41.89986801147461,0.9912554025650024,40.90861129760742,0.03121999464929104,50000
1.7739715576171875,-39.98495864868164,0.1993381381034851,-57.720523834228516,0.1808166801929474,40.40420913696289,0.8784152865409851,39.525794982910156,0.030643049627542496,60000
2.5662379264831543,-39.02208709716797,0.424558162689209,-58.03876876831055,0.15533672273159027,39.502960205078125,0.6927807927131653,38.8101806640625,0.029458969831466675,70000
1.859525442123413,-39.849063873291016,0.5751513838768005,-57.55471420288086,0.19657094776630402,40.148826599121094,0.9279418587684631,39.22088623046875,0.037438321858644485,80000
1.465968132019043,-37.78535461425781,0.00382038950920105,-57.66602325439453,0.18306054174900055,37.91278076171875,0.7182819247245789,37.19449996948242,0.022767923772335052,90000
1.5754733085632324,-38.3116569519043,0.7754011154174805,-58.310829162597656,0.22787629067897797,38.98015594482422,1.2221612930297852,37.75799560546875,0.025344422087073326,100000
1.425027847290039,-37.811920166015625,0.17495310306549072,-57.903404235839844,0.1742173284292221,38.058441162109375,1.023665189743042,37.03477478027344,0.02878267876803875,110000
2.130631923675537,-40.09906768798828,0.1554594486951828,-57.40406036376953,0.14437566697597504,40.53406524658203,0.8404064178466797,39.69365692138672,0.03068000078201294,120000
1.3650200366973877,-40.45616149902344,1.7538268566131592,-57.557090759277344,0.20754657685756683,40.51546096801758,0.7293790578842163,39.78608322143555,0.027136296033859253,130000
